food_name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,percentage_of_ingredients,units,SUM,Target,,,,,,,,,,,,,
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,45,25,sweet,dessert,West Bengal,East,"Maida:70%,Yogurt:10%,Sugar: 15%,Oil:5%","Maida:0,Yogurt:1,Sugar: 0,Oil:0",1,0,,,,,,,,,,,,,
Boondi,"Gram flour, ghee, sugar",vegetarian,80,30,sweet,dessert,Rajasthan,West,"Gram flour:40%,Ghee:20%,Sugar:40%","Gram flour:1,Ghee:0,Sugar:0",1,0,,,,,,,,,,,,,
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,Punjab,North,"carrots:60%,Milk: 20%,Sugar:10%,Ghee:3%,cashews:5%,raisins:2%","carrots:1,Milk: 1,Sugar:0,Ghee:0,cashews:1,raisins:1",4,1,,,,,,,,,,,,,
Ghevar,"Flour, ghee, kewra, milk, sugar, almonds, saffron, green cardamom",vegetarian,15,30,sweet,dessert,Rajasthan,West,"Flour: 50%,Ghee:10%,kewra:10%,Sugar:10%,milk:10%,almonds:5%,saffron:3%,green cardamom:2%","Flour: 0,Ghee:0,kewra:0,milk:1,almonda:1,saffron:1,green cardamom:1",4,1,,,,,,,,,,,,,
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,sweet,dessert,West Bengal,East,"Milk powder:30%,Plain flour:10%,Baking powder:1%,Ghee:15%,Milk:10%,Sugar:30%,Water:3%,Rose water:1%","Milkpowder:1,Plainflour:0,Bakingpowder:0,Ghee:0,Milk:1,Sugar:0,Water:1,Rosewater:1",4,1,,,,,,,,,,,,,
Imarti,"Sugar syrup, lentil flour",vegetarian,10,50,sweet,dessert,West Bengal,East,"Sugar syrup:60%,Lentil flour:40%","Sugar syrup:0,Lentil flour:1",1,0,,,,,,,,,,,,,
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,sweet,dessert,Uttar Pradesh,North,"Maida:40%,Corn flour:5%,Baking soda:1%,Vinegar:2%,Curd:10%Wate:35%,Turmeric:0.5%,Saffron:1%,Cardamom:0.5%","Maida:0,Corn flour:0,Baking soda:0,Vinegar:1,Curd:1,Wate:1,Turmeric:1,Saffron:1,Cardamom:1",6,1,,,,,,,,,,,,,
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,10,20,sweet,dessert,-1,-1,"Cashews:70%,Sugar:20%,Ghee:8%,cardamom:2%","Cashew nuts:1,Sugar:0,Ghee:0,cardamom:1",2,0,,,,,,,,,,,,,
Kalakand,"Milk, cottage cheese, sugar",vegetarian,20,30,sweet,dessert,West Bengal,East,"Milk:70%,Sugar:20%,Cottage cheese:10%","Milk:1,Sugar:0,Cottage cheese:1",2,0,,,,,,,,,,,,,
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,10,40,sweet,dessert,-1,-1,"Rice:20%,Milk:60%,Sugar:17%,Dry fruits:3%","Rice:0,Milk:1,Sugar:0,Dry fruits:1",2,0,,,,,,,,,,,,,
Laddu,"Gram flour, ghee, sugar",vegetarian,10,40,sweet,dessert,-1,-1,"Gram flour:60%,Sugar:30%,Ghee: 10%","Gram flour:1,Sugar:0,Ghee: 0",1,0,,,,,,,,,,,,,
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,5,5,sweet,dessert,Punjab,North,"Yogurt:70%,milk:5%,Sugar:20%,nuts:5%","Yogurt:1,milk:1,Sugar:0,nuts:1",3,1,,,,,,,,,,,,,
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,20,30,sweet,dessert,-1,-1,"Refined flour:35%,Besan:20%,Ghee:20%,Powdered sugar:20%,Yoghurt:3%,Green cardamom:2%","Refined flour:0,Besan:1,Ghee:0,Powdered sugar:0,Yoghurt:1,Green cardamom:1",3,1,,,,,,,,,,,,,
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,10,30,sweet,dessert,Uttar Pradesh,North,"Firm white pumpkin:60%,Sugar:35%,Kitchen lime:3%,Alum powder:2%","firm white pumkin: 1,Sugar:0,kitchen lime:1, alum powder:0",3,1,,,,,,,,,,,,,
Phirni,"Rice, sugar, nuts",vegetarian,30,20,sweet,dessert,Odisha,East,"Rice: 60%,Sugar:30% ,Nuts:10%","Rice:0,Sugar:0 ,Nuts:1",2,0,,,,,,,,,,,,,
Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,10,45,sweet,dessert,Uttar Pradesh,North,"Condensed milk:85%,Sugar:5%,Nuts:5% ,spices:5%","Condensed milk:0,Sugar:0,Nuts:1,spices:1",1,0,,,,,,,,,,,,,
Sheera,"Semolina, ghee, nuts, milk",vegetarian,10,25,sweet,dessert,Maharashtra,West,"Semolina : 50%,Ghee: 15%,Milk:20%,Nuts:15%","Semolina : 0,Ghee: 0,Milk:1,Nuts:1",2,0,,,,,,,,,,,,,
Singori,"Khoa, coconut, molu leaf",vegetarian,10,20,sweet,dessert,Uttarakhand,North,"Khoa:60%, coconut:30%, molu leaf:10%","Khoa:0,Coconut:1,molu leaf:1",3,1,,,,,,,,,,,,,
Sohan halwa,"Corn flour, ghee, dry fruits",vegetarian,10,60,sweet,dessert,Uttar Pradesh,North,"Corn flour:40%, ghee:30%, dry fruits:30%","Corn flour:0,Ghee:0,Dry fruits:1",1,0,,,,,,,,,,,,,
Chhena jalebi,"Chhena, sugar, ghee",vegetarian,10,50,sweet,dessert,Odisha,East,"Chhena: 50%,Sugar:30%,ghee:20%","Chhena: 1,Sugar:0,ghee:0",1,0,,,,,,,,,,,,,
Chhena poda,"Sugar, chenna cheese",vegetarian,10,45,sweet,dessert,Odisha,East,"Chhena cheese:60%,Sugar:40%","Chhena cheese:1,Sugar:0",1,0,,,,,,,,,,,,,
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,40,60,sweet,dessert,West Bengal,East,"Flour:30%, cream:20%, sugar:30%, saffron:1%, lemon juice:4%, coconut flakes:15%","Flour:0, cream:0, sugar:0, saffron:1, lemon juice:1, coconut flakes:1",3,1,,,,,,,,,,,,,
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",vegetarian,25,60,sweet,dessert,Odisha,East,"Chhena:50%,Sugar:20%,Condensed milk:25%,Cardomom:2%,Saffron:3%","Chhena:1,Sugar:0,Condensed milk:0,Cardomom:1,Saffron:1",3,1,,,,,,,,,,,,,
Ledikeni,"Chhena, sugar, ghee",vegetarian,45,45,sweet,dessert,West Bengal,East,"Chhena:60%,Sugar:30%,Ghee:10%","Chhena:1,Sugar:0,Ghee:0",1,0,,,,,,,,,,,,,
Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,20,30,sweet,dessert,Assam,North East,"Fried milk power: 20%,Flour:45%,Sugar syrup:35%","Fried milk power: 0,Flour:0,Sugar syrup:0",1,0,,,,,,,,,,,,,
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,10,120,sweet,dessert,Bihar,North,"Yoghurt:40%, refined flour:35%, ghee:20%, fennel seeds:5%","Yoghurt:1, refined flour:0, ghee:0, fennel seeds:1",2,0,,,,,,,,,,,,,
Mihidana,"Besan flour, sugar, ghee",vegetarian,15,30,sweet,dessert,West Bengal,East,"besan flour:80%,Sugar:15%,Ghee:5%","besan flour:1,Sugar:0,Ghee:0",2,0,,,,,,,,,,,,,
Misti doi,"Milk, jaggery",vegetarian,480,30,sweet,dessert,West Bengal,East,"Milk:90%,Jaggery:10%","Milk:1,Jaggery:1",2,0,,,,,,,,,,,,,
Pantua,"Chhena, sugar, ghee, flour",vegetarian,45,45,sweet,dessert,West Bengal,East,"Chhena:60%,Flour:20%,Sugar:14%,Ghee:6%","Chhena:1,Flour:0,Sugar:0,Ghee:0",1,0,,,,,,,,,,,,,
Pithe,"Rice flour, wheat flour",vegetarian,15,35,sweet,dessert,Assam,North East,"Rice flour:80%,wheat flour:20%","Rice flour:0,wheat flour:1",2,0,,,,,,,,,,,,,
Rasabali,"Chenna, sweetened milk",vegetarian,15,30,sweet,dessert,Odisha,East,"Chhena: 60%,Sweetened Milk:40%","Chhena: 1,Sweetened Milk:1",2,0,,,,,,,,,,,,,
Ras malai,"Chhena, reduced milk, pistachio",vegetarian,180,60,sweet,dessert,West Bengal,East,"Chhena:60%, reduced milk:30%, pistachio:10%","Chhena:1, reduced milk:1, pistachio:1",4,1,,,,,,,,,,,,,
Rasgulla,"Chhena, sugar, cardamom",vegetarian,10,90,sweet,dessert,West Bengal,East,"Chhena:60%,Sugar:38%,cardamom:2%","Chhena:1,Sugar:0,cardamom:1",2,0,,,,,,,,,,,,,
Sandesh,"Milk, sugar, saffron, cardamom",vegetarian,30,20,sweet,dessert,West Bengal,East,"Milk:70%,Sugar: 25%,Cardamom:3%, Saffron:2% ","Milk:1,Sugar:0,Cardamom:1, Saffron:1",3,1,,,,,,,,,,,,,
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,10,50,sweet,dessert,West Bengal,East,"rice flour: 50%,Jaggery:35%,Ghee:10%,Elachi:2%,Vegitable oil:3%","rice flour: 0,Jaggery :1,Ghee:0,Elachi:1,Vegitable oil:0",2,0,,,,,,,,,,,,,
Ariselu,"Rice flour, jaggery, ghee",vegetarian,15,75,sweet,dessert,Andhra Pradesh,South,"Rice flour:60%,Jaggery:30%Ghee: 10%","Rice flour:0,Jaggery:1,Ghee:0",2,0,,,,,,,,,,,,,
